Brand Name,Brand Code,"Deletion
Indicator"
 OTN,OTN,
?UKUROVA,CUK,
ABCDE,,X
ABG,ABG,
ACE,ACE,
AGCO,AGC,
AGRALE,AGL,
AGRIA HISPANIA,AGR,
AGROTK,AGT,
AHLMANN,AHL,
AIMIX,AMX,
AIRMAN,AIR,
ALPIN MAKINE,OTN,
AMD,AMD,
AMEC,AME,
AMKODOR,AMD,
AMMAN,AMN,
AMMANN,AMN,
AMMANN APOLLO,APL,
AMN,AMN,
AMUR,OTN,
ANH,ANH,
ANHUI,ANH,
ANHUI HELI,ANH,
ANHUI MAXBULL,AMM,
ANMANN,AMN,
ANSHAN,ANS,
ANTEY,JLI,
ANTONIO CARRARO,CAO,
AOL,AOL,
AOLITE,AOL,
APACHE CONSTRUCTION,APA,
APOLLO,APL,
ARGO,ARG,
ASIA KING,ASK,
ASTARSA,CAT,
ASTRA,ASA,
ASV,ASV,
ATLANT,OCN,
ATLAS,ATL,
ATLAS COPCO,ATC,
ATLAS COPCO - DYNAPAC,DYN,
ATLAS WEYHAUSEN,ATW,
ATLAS-WEYHAUSEN,ATL,
ATLAS_CHINA,ATL,
ATTACK,ATA,
AUSA,AUS,
AUTOCAR,OTN,
AVA,AVA,
AVANT,AVA,
B#HLER,BUH,
BADGER,BAD,
BADGER EQUIPMENT,BAD,
BAUER,BAU,
BAWOO,BAW,
BCS,BCS,
BCS AGRICOLA (ITALY),BCS,
BDR,BDR,
BEAVER,OTN,
BEIJING HYUNDAI,HYU,
BEIJING SHOUGANG,SHU,
BEIJING ZHONGHUAN KINETICS,BZK,
BEIJUN,OCN,
BEL,BEL,
BELARUS,BET,
BELARUS TRACTOR,BET,
BELAZ,BLZ,
BELL,BEL,
BELL EQUIPMENT,BEL,
BELL TRUCKS,BEL,
BEML,BEM,
BENXI,BEX,
BERGMANN,OTN,
BERTONE,BUH,
BG PAVERS,BGP,
BILL,BEL,
BITELLI,BIT,
BLACK BULL,BLB,
BLAW-KNOX - VOLVO (HIGHWAY),BLW,
BLAW-KNOX VOLVO (HIGHWAY),BLW,
BOB,BOB,
BOBCAT,BOB,
BOBCAT?,BOB,
BOM,BOM,
BOMAG,BOM,
BOMAG (FRMLY TEREXRB),BOM,
BOMAG PAVING,BOM,
BONNY,SBN,
BORUS,OCN,
BOULDER,BLR,
BRAMAQ,OTH,
BRAND UNKNOWN,OCN,
BRANSON,BRS,
BRENNER,BRE,
BRUMBY,BMB,
BRUTATEC,BRU,
BRUTO,BRT,
BRYANSKI ARSENAL,BRZ,
BRYANSKII ARSENAL,BRZ,
BRYANSKIY ARSENAL,BRZ,
BRZ,BRZ,
BUHLER,BUH,
BUHLER VERSATILE,BUH,
BUILDER,OCN,
BULL,BUL,
BULL HELI,BUL,
BULL MACHINES,BUL,
C A R L S O N,CRL,
CAISE,CAI,
CAM,CAM,
CAMS,CAM,
CAMS MACCHINE,CAM,
CANMAX,CAN,
CARLSON,CRL,
CARRARO,CAO,
CARTER,CAR,
CAS,CAS,
CASE,CAS,
CASE (CNH),CAS,
CASE STEYR,CST,
CASE-STEYR,CST,
CASE?,CAS,
CAST LOADERS,OCN,
CASTLOADERS,OTN,
CAT,CAT,
CATER,CTR,
CATERPILLAR,CAT,
CATERPILLAR INC.,CAT,
CATERPILLAR INC. - CAT,CAT,
CATERPILLAR?,CAT,
CATTA,CAT,
CAWAV,CAW,
CCG,CCG,
CCMG,CCG,
CHA,CHA,
CHAMPION,CHM,
CHANGFA (CHINA),CFA,
CHANGLIN,CHA,
CHANGLIN (JIANGSU),CHJ,
CHANGLING,CHA,
CHANGZHOU HYUNDAI,HYU,
CHAOGONG,CHO,
CHDSM/CHELYABINSK ROAD BUILDING MACHINES,CRZ,
CHE,CHE,
CHENG GONG,CHE,
CHENGDU XINZHU,XIZ,
CHENGGANG SHANKE,CMS,
CHENGGONG,CHE,
CHENGONG,CHE,
CHENGYU,OCN,
CHERY,CHR,
CHINA COAL,CCL,
CHINESE,OCN,
CHINESE BRANDS,OCN,
CHP,CHP,
CHR,CHR,
CHRBM,CRZ,
CHRIS TEST,CRT,
CHTZ,CHZ,
CHZ,CHZ,
CIBER,CIB,
CIBER (VOGELE),CIB,
CIBER (WIRTGEN),CIB,
CIPSA,CIP,
CLAAS,CLA,
CLARK,CMH,
CLARK MH,CMH,
CLINTON,CLI,
CMT,OCN,
CNH,CNH,
CNH INDUSTRIAL,CNH,
COLMAR,CLR,
COW,COW,
COWDIN,COW,
CRIBSA,CRI,
CROWN,CRW,
CRZ,CRZ,
CTK,CTK,
CUK,CUK,
CUKUROVA,CUK,
CUKURUVA,CUK,
CUMITAS,CUM,
CVS FERRARI,FRR,
DACHENG,DAC,
DAHUA,DAH,
DEDONG,SHL,
DEER,JOH,
DEERE,JOH,
DEGONG,SHL,
DEKAI,DEK,
DELCO,OCN,
DEMAG,DEM,
DEUTZ,DEF,
DEUTZ FAHR,DEF,
DEUTZ-FAHR,DEF,
DEVELON,DOO,
DEXTER,DTR,
DEZHOU,HET,
DEZHOU BOADING,SDB,
DEZHOU HENGTE,HET,
DEZZI,DEZ,
DIE,DIE,
DIECI,DIE,
DIGGER,OTN,
DINGSHENG,TIA,
DINGSHENG TIANGONG,TIA,
DISD,DOO,
DISD-DOOSAN,DOO,
DML,DML,
DOBEST,DOB,
DONETSKII EXCAVATOR,DEX,
DONGFENG,DOF,
DONGIN,DNI,
DONGYANG,DGY,
DOO,DOO,
DOOSAN,DOO,
DOOSAN DAEWOO,DOO,
DOOSAN INFRA.,DOO,
DOOSAN MOXY,MOX,
DOOSAN?,DOO,
DORELEKTROMASH,DRM,
DORMASHINA,DOR,
DRE,DRE,
DRESSTA,DRE,
DST-URAL,DST,
DSTG,TIA,
DYN,DYN,
DYNAPAC,DYN,
DYNAPAC?,DYN,
ECM,OTN,
EGO,OCN,
EIMCO ELECON,EIM,
EKM,EKM,
EKSMASH,EKM,
ELAZ,ELZ,
ELAZ (ELAZSTROY),ELZ,
ELZ,ELZ,
ENS,ENS,
ENSIGN,ENS,
ENSING,ENS,
EOUGEM,EUO,
EPIROC,EPI,
ESCORT LIMITED,ECE,
ESCORTS,ECE,
ETN,ETN,
EUA,EUA,
EUO,EUO,
EUROCOMACH,EUR,
EUROMACH,EUR,
EUROPARD,OCN,
EVERICH,EVI,
EVERUN,EVR,
FAH,FAH,
FALCON,FAL,
FARESIN,FAH,
FASHIDA,FAS,
FAYSTON MACHINERY,SFM,
FEELER,BUI,
FEMA,FEM,
FENDT,FED,
FERMEC,FER,
FERRARI,FRR,
FIAT-KOBELCO,FIA,
FINE,FEI,
FINE EQUIPMENTS,FEI,
FIRST,INF,
FIRST LOADER,INF,
FIRST TRACTOR,FST,
FOL,FOL,
FORCE MOTORS,FMO,
FORLOAD,WFM,
FORLOAD MACHINERY,WFM,
FORT,OCN,
FORWARD,OCN,
FORWAY,FWY,
FORZA,FBR,
FOTON,FOL,
FOTON (CHINA),FOL,
FOTON LOVOL,FOL,
FUCHS,FUH,
FUDA,FUD,
FUGONG,OCN,
FUH,FUH,
FUHONG,OCN,
FUJIAN,FUJ,
FUKAI,FUK,
FURD,OCN,
FURUIDE,OCN,
FURUKAWA,OTN,
FUTIAN,FUT,
FWY,FWY,
GAMZEN,GMZ,
GEH,GEH,
GEHL,GEH,
GEHL (INCL MUSTANG),GEH,
GEHL - MUSTANG,GEH,
GEHL MUSTANG,MUS,
GEN,GEN,
GENIE,GEN,
GETM,GEM,
GIANT,GIN,
GIOVANNINI,GIO,
GL,GLX,
GOLDONI,GOL,
GOMACO,GOM,
GOODWORK,OCN,
GRADALL,GRA,
GRADALL (ALAMO),GRA,
GRADALL ALAMO,GRA,
GRANIT,OCN,
GREATSWORD,GSW,
GREAVES,GRE,
GREAVES-BOMAG,BOM,
GRIZZLY,OCN,
GUANGMING,GUA,
GUANGXI KAIYUAN,KYM,
GUIZHOU JONYANG KINETICS,GJK,
GUOHUA,GUH,
GUOJILUOYANG/YTO,YTO,
HAH,HAH,
HAIGONG,HNG,
HAIHONG,HAH,
HAM,HAM,
HAMM,HAM,
HANENBERG MATERIEEL,SPA,
HANIX,HAN,
HANOMAG,HAG,
HANTA,HAT,
HAO,HAO,
HAOHONG,HHM,
HAOHONG MACHINERY,HHM,
HARBIN SIHAI,HAR,
HARLO,HAL,
HAU,HAU,
HAULOTTE,HAU,
HBM NOBAS,HBM,
HBM-NOBAS,HBM,
HBX,HBX,
HBXG,HBX,
HBXG/SHENWA,SHW,
HDS,HDS,
HEDESA,HDS,
HEFENG,HEF,
HELI,ANH,
HEMAN,HMN,
HENGCHUN,HEU,
HENGTE,HET,
HENGTIAN,HTI,
HENGWANG,OCN,
HERACLES,HER,
HERCULES,HER,
HERMANN PAUS,OTN,
HERO TIME,HRT,
HERUN,OTN,
HEZHONG,QHM,
HGY,HGY,
HID,HID,
HIDROMEK,HID,
HIGHTOP,SHM,
HIGHTOP MACHINERY,SHM,
HIKING,HKG,
HIT,HIT,
HITACHI,HIT,
HITACHI CM,HIT,
HITACHI CONSTRUCTION MACHINERY,HIT,
HITACHI?,HIT,
HITHCHI,HIT,
HMT,HMT,
HOLDER,HOD,
HONGLIN,OCN,
HOPPT,HOP,
HORNQUIP MACHINERY,OCN,
HORYONG,HOR,
HSW,HSW,
HTO,HTO,
HTZG,HET,
HUAHONG,OCN,
HUASHEN ZHONGTIAN,HSZ,
HUATAI,HTA,
HUATONG,HUT,
HUAWEI,HUW,
HUAYA,XHM,
HUAYA MACHINE,XHM,
HUDDIG,HUD,
HUIZHONG,HUZ,
HUNTER,OTN,
HURLIMANN,HUR,
HUZ,HUZ,
HYAYA,XHM,
HYDREMA,HYD,
HYDROMA,HOM,
HYDROMAC,HYM,
HYDROMEK,HID,
HYNDAI,HYU,
HYPAC,HYP,
HYSOON,HYS,
HYSTER,HYR,
HYTEC,HYT,
HYU,HYU,
HYUNDAI,HYU,
HYUNDAI HEAVY INDUSTRIES,HYU,
HYUNDAI JIANGSU,HYU,
HYUNDAI SHANDONG,HYU,
HYUNDAI-DOOSAN,DOO,
HYUNDAI-INDIA,HYU,
HYUNDAI?,HYU,
HZM,HUZ,
ICLES,OCN,
IDN,IDN,
IHI,IHI,
IHI CONSTRUCTION MACHINERY,IHI,
IHIMER,IHM,
IHISCE,IHI,
IHM,IHM,
IMER,IME,
INFRONT,OCN,
INNER MONGOLIA,INN,
INTER-DON,IDN,
INTERNATIONAL TRACTORS,ITT,
IR BLAW-KNOX,BLW,
IRM,IRM,
IRMASH,IRM,
IRON XCMG,XCM,
ISEKI,ISE,
JAN,JAN,
JAY KHODIYAR,JKH,
JCB,JCB,
JCB VIBROMAX,JCB,
JCB-KESLA,JCB,
JCB-ROBOTEC,JCB,
JCB-ROTOBEC,JCB,
JCB?,JCB,
JCM,JCM,
JD,JOH,
JGM,JGM,
JHU,JHU,
JIAHE,JIH,
JIALONG,JIA,
JIANGLU,JGL,
JIANGONG,JGG,
JIANGSU,JGS,
JIANGSU CHANGLIN,CHJ,
JIANGSU HUATONG KINETICS,HUT,
JIANGSU SHANGQI,OCN,
JIANGSU YUEDA INTELLIGENT AGRICULTURAL E,YUE,
JIANGXI NANTE,NAN,
JIELI,JLI,
JIG,JIG,
JINAN,JNN,
JINAN QINGING,JNQ,
JINCHENG,JIC,
JINGGONG,JIG,
JINGONG,JIN,
JINHUI,JHU,
JINING SAAO,OCN,
JINING VOTE,OCN,
JINKUNG,JIS,
JINMA,YUE,
JINWANG,GXJ,
JLG,JLG,
JLG (ALL BRANDS),JLG,
JLG - CAT,JLG,
JLG CAT,JLG,
JLI,JLI,
JLT-POWER,JLT,
JOH,JOH,
JOHN DEERE,JOH,
JOHN DEERE-CHINOS,JOH,
JONYANG,JYG,
JONYANG KINETICS,GJK,
JOT,JOT,
JOTEC,JOT,
JOVE,JOV,
JOY,JOY,
JOY GLOBAL,JOY,
JUBA,OTN,
JUFENG MACHINERY,JFM,
JUHEMINGDA,OCN,
JULANG,OCN,
JULING,YCH,
JUMBO,JUM,
JUNGHEINRICH,JUH,
JUNGONG,JNG,
JUNMA,JMA,
JYG,JYG,
KAIDA,KAD,
KAIDONG,OCN,
KAILEI,KAI,
KAISER,KAS,
KAIWEI,KWE,
KAIXING,KAX,
KANTO,KAN,
KAT,KAT,
KATO,KAT,
KATO IMER,KAT,
KATO WORKS,KAT,
KAW,KAW,
KAWASAKI,KAW,
KAWAZAKI,KAW,
KCMG,XCM,
KETAI,KOT,
KEZ,KEZ,
KGZ,KGZ,
KIOTI,KIO,
KIP,KIP,
KMX,KMX,
KNIKMOPS,KNK,
KNIKMPOS,KNK,
KOB,KOB,
KOBELCO,KOB,
KOBELCO CONSTRUCTION MACHINERY,KOB,
KOBELKO,KOB,
KOLBERG,KPI,
KOM,KOM,
KOMATSU,KOM,
KOMATSU AMERICA,KOM,
KOMATSU CHINA,KOM,
KOMATSU?,KOM,
KOTAI,KOT,
KOVROV ELECTROMECHANICAL PLANT,KVZ,
KOVROV EXCAVATOR PLANT,KVZ,
KRA,KRA,
KRAMER,KRA,
KRAMERALLRAD,KRA,
KRANEKS,KRN,
KRFMER,KRA,
KRN,KRN,
KUB,KUB,
KUBELCO,KOB,
KUBOTA,KUB,
KUD,KUD,
KUDAT,OTN,
KURGANMASHZAVOD,KGZ,
KWE,KWE,
KYLOTON,OCN,
L&T,LTB,
L&T- KOMATSU,KOM,
L&T-CASE,CAS,
LAI-MU,LAI,
LAIGONG,LAG,
LAIZHOU,LZM,
LAMBORGHINI,LBG,
LAN TIAN,LTI,
LANDINI,LAD,
LANDINI (ITALY),LAD,
LANDINI USA,LAD,
LANNEN,LAN,
LAR,LHI,
LAR HI,LHI,
LAX,LAX,
LBX,LIK,
LEB,LEB,
LEBRERO,LEB,
LEE,LEE,
LEEBOY,LEE,
LEIST GROSS,OCN,
LEITE,OCN,
LET,LET,
LETOURNEAU,LET,
LEYLAND DEERE,ASL,
LG,LGX,
LGMC,OCN,
LGZT,OCN,
LIA,LIA,
LIANGONG,LIA,
LIANGONG OR MICHIGAN,MGN,
LIE,LIE,
LIEBHER,LIE,
LIEBHERR,LIE,
LIK,LIK,
LIN,LIN,
LINDE,LID,
LINDNER,LIR,
LINGONG,LIN,
LINK BELT,LIK,
LINK-BELT,LIK,
LINK-BELT - LBX,LIK,
LINK-BELT LBX,LIK,
LINK-BELT | LBX,LIK,
LINKBELT,LIK,
LINYI CENTER CONSTRUCTION MACHINERY,LCR,
LION,OCN,
LIS,LIS,
LISHIDE,LIS,
LITENG,LIT,
LIU,LIU,
LIU GONG,LIU,
LIUGONG,LIU,
LIUGONG DRESSTA,DRE,
LIXING,LIX,
LJUNGBY MASKIN,LJU,
LOCUST,LOC,
LON,LON,
LONGGONG,LOG,
LONGJI,LGJ,
LONKING,LON,
LONKING (CHINA),LON,
LOONG SHEEN,LOS,
LOTHAR,LOT,
LOUYANG,LOU,
LOVOL,FOL,
LQG,LQG,
LS,LST,
LS MTRON,LST,
LS MTRON (BR),LST,
LS TRACTOR,LST,
LS TRACTORS,LST,
LS Tractor,LST,
LTMA,XXM,
