Country Grouping,,Machine Line,,Artificial machine line,Primary Source,Secondary source NOT IN USE,CRP source,"Change
GIE,Ireland,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GIE,Ireland,390,Compaction Machines,Compaction Machines,,,,,,
GIE,Ireland,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GIT,Italy,300,Compact Excavators,CEX,OHR,,CEE,,,
GIT,Italy,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GIT,Italy,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GIT,Italy,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GIT,Italy,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GIT,Italy,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GIT,Italy,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GIT,Italy,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GIT,Italy,390,Compaction Machines,Compaction Machines,ORR,,,,,
GIT,Italy,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GJP,Japan,330,Articulated Haulers,Articulated Haulers,OHR,OHR,HVE,,,
GJP,Japan,410,Backhoe Loaders,Backhoe Loaders,OHR,OHR,,,,
GJP,Japan,300,Compact Excavators,CEX,OHR,,HVE,,,
GJP,Japan,350,Compact Wheel Loaders,350,OHR,,HVE,,,
GJP,Japan,390,Compaction Machines,Compaction Machines,DES,,,,,
GJP,Japan,310,GPE Crawler Excavators,GEC,OHR,,HVE,,,
GJP,Japan,320,GPE Wheel Excavators,GEW,OHR,OHR,HVE,,,
GJP,Japan,360,GPE Wheel Loaders,WLO,OHR,,HVE,,,
GJP,Japan,380,Motor Graders,Motor Graders,OHR,,HVE,,,
GJP,Japan,340,Rigid Haulers,Rigid Haulers,OHR,,HVE,,,
GLA,Lao,300,Compact Excavators,CEX,DES,,HVE,,,
GLA,Lao,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GLA,Lao,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GLA,Lao,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GLA,Lao,350,Compact Wheel Loaders,350,DES,,HVE,,,
GLA,Lao,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GLA,Lao,380,Motor Graders,Motor Graders,DES,,HVE,,,
GLA,Lao,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GLA,Lao,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GLA,Lao,390,Compaction Machines,Compaction Machines,,,,,,
GMY,Malaysia,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GMY,Malaysia,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GMY,Malaysia,300,Compact Excavators,CEX,DES,,HVE,,,
GMY,Malaysia,350,Compact Wheel Loaders,350,DES,,HVE,,,
GMY,Malaysia,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GMY,Malaysia,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GMY,Malaysia,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GMY,Malaysia,380,Motor Graders,Motor Graders,DES,,HVE,,,
GMY,Malaysia,390,Compaction Machines,Compaction Machines,DES,,,,,
GMY,Malaysia,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GMX,Mexico,300,Compact Excavators,CEX,PIN,,HVE,,,
GMX,Mexico,310,GPE Crawler Excavators,GEC,PIN,,HVE,,,
GMX,Mexico,320,GPE Wheel Excavators,GEW,PIN,,HVE,,,
GMX,Mexico,330,Articulated Haulers,Articulated Haulers,PIN,,HVE,,,
GMX,Mexico,340,Rigid Haulers,Rigid Haulers,PIN,,HVE,,,
GMX,Mexico,350,Compact Wheel Loaders,350,PIN,,HVE,,,
GMX,Mexico,360,GPE Wheel Loaders,WLO,PIN,,HVE,,,
GMX,Mexico,380,Motor Graders,Motor Graders,PIN,,HVE,,,
GMX,Mexico,390,Compaction Machines,Compaction Machines,PIN,,,,,
GMX,Mexico,410,Backhoe Loaders,Backhoe Loaders,PIN,,,,,
GMM,Myanmar,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GMM,Myanmar,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GMM,Myanmar,300,Compact Excavators,CEX,DES,,HVE,,,
GMM,Myanmar,350,Compact Wheel Loaders,350,DES,,HVE,,,
GMM,Myanmar,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GMM,Myanmar,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GMM,Myanmar,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GMM,Myanmar,380,Motor Graders,Motor Graders,DES,,HVE,,,
GMM,Myanmar,390,Compaction Machines,Compaction Machines,DES,,,,,
GMM,Myanmar,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GNL,Netherlands,300,Compact Excavators,CEX,OHR,,CEE,,,
GNL,Netherlands,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GNL,Netherlands,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GNL,Netherlands,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GNL,Netherlands,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GNL,Netherlands,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GNL,Netherlands,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GNL,Netherlands,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GNL,Netherlands,390,Compaction Machines,Compaction Machines,,,,,,
GNL,Netherlands,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GNO,Norway,300,Compact Excavators,CEX,OHR,,CEE,,,
GNO,Norway,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GNO,Norway,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GNO,Norway,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GNO,Norway,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GNO,Norway,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GNO,Norway,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GNO,Norway,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GNO,Norway,390,Compaction Machines,Compaction Machines,,,,,,
GNO,Norway,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GOM,Oman,300,Compact Excavators,CEX,DES,,HVE,,,
GOM,Oman,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GOM,Oman,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GOM,Oman,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GOM,Oman,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GOM,Oman,350,Compact Wheel Loaders,350,DES,,HVE,,,
GOM,Oman,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GOM,Oman,380,Motor Graders,Motor Graders,DES,,HVE,,,
GOM,Oman,390,Compaction Machines,Compaction Machines,DES,,,,,
GOM,Oman,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GPK,Pakistan,300,Compact Excavators,CEX,PIN,,HVE,,,
GPE,Peru,300,Compact Excavators,CEX,OHR,PIN,HVE,,,
GPE,Peru,310,GPE Crawler Excavators,GEC,OHR,PIN,HVE,,,
GPE,Peru,320,GPE Wheel Excavators,GEW,OHR,PIN,HVE,,,
GPE,Peru,330,Articulated Haulers,Articulated Haulers,OHR,PIN,HVE,,,
GPE,Peru,340,Rigid Haulers,Rigid Haulers,OHR,PIN,HVE,,,
GPE,Peru,350,Compact Wheel Loaders,350,OHR,PIN,HVE,,,
GPE,Peru,360,GPE Wheel Loaders,WLO,OHR,PIN,HVE,,,
GPE,Peru,380,Motor Graders,Motor Graders,OHR,PIN,HVE,,,
GPE,Peru,390,Compaction Machines,Compaction Machines,PIN,PIN,,,,
GPE,Peru,410,Backhoe Loaders,Backhoe Loaders,OHR,PIN,,,,
GPH,Philippines,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GPH,Philippines,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GPH,Philippines,300,Compact Excavators,CEX,DES,,HVE,,,
GPH,Philippines,350,Compact Wheel Loaders,350,DES,,HVE,,,
GPH,Philippines,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GPH,Philippines,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GPH,Philippines,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GPH,Philippines,380,Motor Graders,Motor Graders,DES,,HVE,,,
GPH,Philippines,390,Compaction Machines,Compaction Machines,DES,,,,,
GPH,Philippines,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GPL,Poland,300,Compact Excavators,CEX,OHR,,CEE,,,
GPL,Poland,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GPL,Poland,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GPL,Poland,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GPL,Poland,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GPL,Poland,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GPL,Poland,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GPL,Poland,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GPL,Poland,390,Compaction Machines,Compaction Machines,,,,,,
GPL,Poland,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GPT,Portugal,300,Compact Excavators,CEX,OHR,,CEE,,,
GPT,Portugal,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GPT,Portugal,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GPT,Portugal,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GPT,Portugal,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GPT,Portugal,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GPT,Portugal,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GPT,Portugal,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GPT,Portugal,390,Compaction Machines,Compaction Machines,,,,,,
GPT,Portugal,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GQA,Qatar,300,Compact Excavators,CEX,DES,,HVE,,,
GQA,Qatar,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GQA,Qatar,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GQA,Qatar,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GQA,Qatar,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GQA,Qatar,350,Compact Wheel Loaders,350,DES,,HVE,,,
GQA,Qatar,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GQA,Qatar,380,Motor Graders,Motor Graders,DES,,HVE,,,
GQA,Qatar,390,Compaction Machines,Compaction Machines,DES,,,,,
GQA,Qatar,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GSA,Saudi Arabia,300,Compact Excavators,CEX,DES,,HVE,,,
GSA,Saudi Arabia,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GSA,Saudi Arabia,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GSA,Saudi Arabia,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GSA,Saudi Arabia,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GSA,Saudi Arabia,350,Compact Wheel Loaders,350,DES,,HVE,,,
GSA,Saudi Arabia,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GSA,Saudi Arabia,380,Motor Graders,Motor Graders,DES,,HVE,,,
GSA,Saudi Arabia,390,Compaction Machines,Compaction Machines,DES,,,,,
GSA,Saudi Arabia,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GSG,Singapore,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GSG,Singapore,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GSG,Singapore,300,Compact Excavators,CEX,DES,,HVE,,,
GSG,Singapore,350,Compact Wheel Loaders,350,DES,,HVE,,,
GSG,Singapore,390,Compaction Machines,Compaction Machines,DES,,,,,
GSG,Singapore,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GSG,Singapore,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GSG,Singapore,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GSG,Singapore,380,Motor Graders,Motor Graders,DES,,HVE,,,
GSG,Singapore,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GZA,South Africa,300,Compact Excavators,CEX,CMS,,HVE,,,
GZA,South Africa,310,GPE Crawler Excavators,GEC,CMS,,HVE,,,
GZA,South Africa,320,GPE Wheel Excavators,GEW,CMS,,HVE,,,
GZA,South Africa,330,Articulated Haulers,Articulated Haulers,CMS,,HVE,,,
GZA,South Africa,340,Rigid Haulers,Rigid Haulers,CMS,,HVE,,,
GZA,South Africa,350,Compact Wheel Loaders,350,CMS,,HVE,,,
GZA,South Africa,360,GPE Wheel Loaders,WLO,CMS,,HVE,,,
GZA,South Africa,380,Motor Graders,Motor Graders,CMS,,HVE,,,
GZA,South Africa,390,Compaction Machines,Compaction Machines,CMS,,,,,
GZA,South Africa,410,Backhoe Loaders,Backhoe Loaders,CMS,,,,,
GKR,South Korea,300,Compact Excavators,CEX,KRA,,MOL,,,
GKR,South Korea,310,GPE Crawler Excavators,GEC,KRA,,MOL,,,
GKR,South Korea,320,GPE Wheel Excavators,GEW,KRA,,MOL,,,
GKR,South Korea,330,Articulated Haulers,Articulated Haulers,KRA,,MOL,,,
GKR,South Korea,340,Rigid Haulers,Rigid Haulers,KRA,,MOL,,,
GKR,South Korea,350,Compact Wheel Loaders,350,KRA,,HVE,,,
GKR,South Korea,360,GPE Wheel Loaders,WLO,KRA,,MOL,,,
GKR,South Korea,380,Motor Graders,Motor Graders,KRA,,HVE,,,
GKR,South Korea,390,Compaction Machines,Compaction Machines,KRA,,,,,
GKR,South Korea,410,Backhoe Loaders,Backhoe Loaders,KRA,,,,,
GES,Spain,300,Compact Excavators,CEX,OHR,,CEE,,,
GES,Spain,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GES,Spain,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GES,Spain,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GES,Spain,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GES,Spain,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GES,Spain,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GES,Spain,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GES,Spain,390,Compaction Machines,Compaction Machines,,,,,,
GES,Spain,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GSE,Sweden,300,Compact Excavators,CEX,OHR,,CEE,,,
GSE,Sweden,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GSE,Sweden,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GSE,Sweden,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GSE,Sweden,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GSE,Sweden,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GSE,Sweden,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GSE,Sweden,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GSE,Sweden,390,Compaction Machines,Compaction Machines,,,,,,
GSE,Sweden,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GCH,Switzerland,300,Compact Excavators,CEX,OHR,,CEE,,,
GCH,Switzerland,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GCH,Switzerland,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GCH,Switzerland,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GCH,Switzerland,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GCH,Switzerland,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GCH,Switzerland,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GCH,Switzerland,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GCH,Switzerland,390,Compaction Machines,Compaction Machines,,,,,,
GCH,Switzerland,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GTW,Taiwan,300,Compact Excavators,CEX,DES,,HVE,,,
GTW,Taiwan,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GTW,Taiwan,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GTW,Taiwan,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GTW,Taiwan,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GTW,Taiwan,350,Compact Wheel Loaders,350,DES,,HVE,,,
GTW,Taiwan,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GTW,Taiwan,380,Motor Graders,Motor Graders,DES,,HVE,,,
GTW,Taiwan,390,Compaction Machines,Compaction Machines,DES,,,,,
GTW,Taiwan,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GTH,Thailand,300,Compact Excavators,CEX,DES,,HVE,,,
GTH,Thailand,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GTH,Thailand,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GTH,Thailand,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GTH,Thailand,350,Compact Wheel Loaders,350,DES,,HVE,,,
GTH,Thailand,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GTH,Thailand,380,Motor Graders,Motor Graders,DES,,HVE,,,
GTH,Thailand,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GTH,Thailand,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GTH,Thailand,390,Compaction Machines,Compaction Machines,,,,,,
GTR,Turkey,300,Compact Excavators,CEX,DES,,HVE,,,
GTR,Turkey,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GTR,Turkey,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GTR,Turkey,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GTR,Turkey,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GTR,Turkey,350,Compact Wheel Loaders,350,DES,,HVE,,,
GTR,Turkey,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GTR,Turkey,380,Motor Graders,Motor Graders,DES,,HVE,,,
GTR,Turkey,390,Compaction Machines,Compaction Machines,DES,,,,,
GTR,Turkey,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GAE,UAE,300,Compact Excavators,CEX,DES,,HVE,,,
GAE,UAE,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GAE,UAE,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GAE,UAE,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GAE,UAE,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GAE,UAE,350,Compact Wheel Loaders,350,DES,,HVE,,,
GAE,UAE,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GAE,UAE,380,Motor Graders,Motor Graders,DES,,HVE,,,
GAE,UAE,390,Compaction Machines,Compaction Machines,DES,,,,,
GAE,UAE,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GUK,United Kingdom,300,Compact Excavators,CEX,OHR,,CEE,,,
GUK,United Kingdom,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GUK,United Kingdom,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GUK,United Kingdom,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GUK,United Kingdom,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GUK,United Kingdom,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GUK,United Kingdom,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GUK,United Kingdom,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GUK,United Kingdom,390,Compaction Machines,Compaction Machines,,,,,,
GUK,United Kingdom,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GUS,United States,300,Compact Excavators,CEX,OHR,,HVN,,,
GUS,United States,310,GPE Crawler Excavators,GEC,OHR,,HVN,,,
GUS,United States,320,GPE Wheel Excavators,GEW,OHR,,HVN,,,
GUS,United States,330,Articulated Haulers,Articulated Haulers,OHR,,HVN,,,
GUS,United States,340,Rigid Haulers,Rigid Haulers,OHR,,HVN,,,
GUS,United States,350,Compact Wheel Loaders,350,OHR,,HVN,,,
GUS,United States,360,GPE Wheel Loaders,WLO,OHR,,HVN,,,
GUS,United States,380,Motor Graders,Motor Graders,OHR,,HVN,,,
GUS,United States,390,Compaction Machines,Compaction Machines,ORR,,,,,
GUS,United States,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GVN,VietNam,330,Articulated Haulers,Articulated Haulers,DES,,HVE,,,
GVN,VietNam,410,Backhoe Loaders,Backhoe Loaders,DES,,,,,
GVN,VietNam,300,Compact Excavators,CEX,DES,,HVE,,,
GVN,VietNam,350,Compact Wheel Loaders,350,DES,,HVE,,,
GVN,VietNam,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GVN,VietNam,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GVN,VietNam,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GVN,VietNam,380,Motor Graders,Motor Graders,DES,,HVE,,,
GVN,VietNam,390,Compaction Machines,Compaction Machines,DES,,,,,
GVN,VietNam,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
